district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Sivaganga,Ilayangudi,Urban,11.5836,79.642,Assault,8,Tuesday,Evening,629,5.35,74.79,0.359,7,15,1.98,0,26-35,0.908,4.13,0.748,40.44,0.239,0.811,1
Coimbatore,Pollachi,Semi-Urban,11.3667,76.6913,Vandalism,11,Monday,Evening,1516,3.84,86.5,0.694,14,16,7.42,1,18-25,0.952,1.4,0.865,86.88,0.343,0.394,1
Erode,Erode,Rural,12.4435,77.9979,Theft,3,Friday,Night,633,10.0,77.51,0.535,7,7,1.07,0,60+,1.015,1.03,0.775,34.15,0.868,0.437,1
Vellore,Arcot,Urban,13.2318,80.3193,Drug Offense,7,Thursday,Evening,751,10.32,77.88,0.581,5,6,2.27,0,26-35,1.061,3.78,0.779,58.7,0.705,0.767,0
Tiruvannamalai,Arani,Semi-Urban,13.1496,76.9863,Domestic Violence,12,Thursday,Afternoon,467,10.46,71.43,0.554,4,12,4.89,1,36-45,1.061,1.15,0.714,36.16,0.807,0.543,0
Tiruchirappalli,Tiruchirappalli,Rural,11.9448,78.156,Fraud,1,Friday,Afternoon,547,11.15,69.85,0.441,6,8,6.98,0,26-35,1.076,2.7,0.698,67.35,0.401,0.342,0
Karur,Kadavur,Rural,8.0869,77.5079,Assault,2,Sunday,Evening,410,13.82,77.09,0.445,2,5,1.1,0,36-45,1.028,1.06,0.771,31.65,0.876,0.738,1
Ramanathapuram,Kamuthi,Semi-Urban,10.7146,77.9351,Drug Offense,3,Tuesday,Night,288,8.28,73.23,0.158,4,3,7.61,0,26-35,0.928,2.69,0.732,42.0,0.454,0.314,1
Tirunelveli,Nanguneri,Rural,10.141,80.109,Theft,12,Sunday,Night,279,11.37,84.21,0.262,5,13,1.64,1,46-60,1.097,1.96,0.842,63.2,0.617,0.377,1
Chennai,Chennai South,Urban,8.6996,78.7726,Traffic Violation,4,Saturday,Night,1177,7.38,89.99,0.482,19,20,5.36,1,26-35,1.063,3.6,0.9,70.76,0.498,0.863,1
Dindigul,Natham,Rural,9.6376,78.0719,Fraud,1,Wednesday,Afternoon,445,8.64,66.06,0.534,8,11,6.69,0,18-25,1.076,5.0,0.661,39.48,0.754,0.489,0
Karur,Aravakurichi,Rural,13.4083,79.9198,Theft,6,Friday,Evening,588,14.31,68.62,0.537,7,9,4.22,0,36-45,1.081,1.42,0.686,30.52,0.516,0.746,0
Tirunelveli,Tirunelveli,Rural,9.1235,79.5418,Vandalism,1,Tuesday,Night,652,6.1,66.79,0.436,4,14,4.39,0,46-60,1.095,1.66,0.668,69.31,0.621,0.526,0
Cuddalore,Chidambaram,Semi-Urban,9.2971,78.007,Burglary,9,Wednesday,Night,280,12.45,76.29,0.49,6,8,3.71,0,60+,1.062,4.56,0.763,45.51,0.516,0.751,0
Tiruvannamalai,Arani,Urban,12.535,77.0029,Fraud,4,Saturday,Morning,683,9.33,84.85,0.137,8,10,6.73,1,46-60,0.966,4.91,0.849,68.22,0.516,0.657,0
Krishnagiri,Bargur,Semi-Urban,8.5186,77.7397,Burglary,8,Saturday,Evening,698,11.02,65.51,0.666,7,5,4.05,0,26-35,1.075,3.48,0.655,58.44,0.465,0.476,1
Cuddalore,Panruti,Urban,10.3289,76.0981,Fraud,4,Monday,Morning,714,5.75,74.19,0.611,5,15,4.36,1,18-25,1.027,3.41,0.742,69.54,0.491,0.35,0
Dharmapuri,Nallampalli,Rural,10.4793,76.8954,Fraud,4,Thursday,Afternoon,241,5.69,78.19,0.728,5,6,4.54,1,26-35,0.978,3.26,0.782,57.91,0.622,0.851,1
Dharmapuri,Harur,Urban,10.1666,77.2644,Drug Offense,2,Sunday,Night,247,13.36,81.5,0.685,2,6,5.41,0,46-60,0.957,2.1,0.815,69.55,0.868,0.433,0
Tiruvannamalai,Vandavasi,Rural,13.2377,77.6799,Theft,12,Wednesday,Night,227,9.38,77.59,0.729,6,2,5.14,1,18-25,0.989,4.96,0.776,56.99,0.419,0.55,1
Dharmapuri,Palacode,Rural,11.3373,78.8685,Domestic Violence,5,Tuesday,Afternoon,526,10.27,70.88,0.379,4,7,0.57,0,60+,0.975,4.87,0.709,41.03,0.864,0.758,1
Thoothukudi,Vilathikulam,Rural,8.9034,78.8651,Theft,8,Tuesday,Night,556,14.29,78.2,0.248,3,14,4.43,0,18-25,0.93,1.77,0.782,47.22,0.899,0.574,1
Coimbatore,Coimbatore North,Semi-Urban,8.8838,76.5371,Domestic Violence,9,Wednesday,Morning,1557,5.42,89.5,0.271,12,26,0.87,0,60+,0.972,2.76,0.895,86.41,0.216,0.718,1
Dindigul,Dindigul,Rural,9.9246,79.8887,Burglary,12,Wednesday,Night,687,10.32,69.82,0.45,7,6,7.56,1,46-60,0.94,0.69,0.698,48.25,0.803,0.715,0
Sivaganga,Karaikudi,Urban,11.1359,76.3155,Burglary,5,Friday,Afternoon,269,6.49,67.24,0.448,6,2,2.22,0,18-25,0.977,1.18,0.672,41.04,0.269,0.385,1
Tiruvannamalai,Arani,Rural,9.5434,77.1781,Traffic Violation,2,Thursday,Night,654,7.2,67.37,0.331,8,6,5.07,0,18-25,0.951,1.23,0.674,50.28,0.418,0.589,1
Erode,Bhavani,Urban,10.2902,79.6943,Theft,3,Friday,Evening,521,11.25,83.73,0.48,3,4,6.83,0,26-35,1.011,3.84,0.837,34.49,0.25,0.849,0
Tiruvannamalai,Tiruvannamalai,Rural,13.1764,79.0355,Theft,11,Monday,Night,535,5.24,78.1,0.146,5,5,4.64,1,60+,1.092,3.85,0.781,55.88,0.66,0.616,0
Thanjavur,Thiruvidaimarudur,Rural,9.7721,79.9358,Assault,7,Tuesday,Afternoon,723,8.68,66.45,0.489,8,8,2.82,0,36-45,1.051,3.69,0.664,32.56,0.871,0.87,0
Tiruchirappalli,Musiri,Semi-Urban,11.3907,78.0937,Drug Offense,7,Wednesday,Morning,240,6.38,66.15,0.44,5,10,3.97,0,18-25,1.05,0.84,0.662,65.03,0.553,0.824,1
Thoothukudi,Vilathikulam,Urban,12.9701,77.5661,Assault,1,Saturday,Night,201,5.99,73.16,0.472,8,14,4.76,0,60+,1.064,0.79,0.732,40.37,0.526,0.944,1
Chennai,Ambattur,Urban,12.1077,80.0329,Cybercrime,4,Monday,Evening,833,4.88,94.08,0.363,9,24,5.72,1,60+,1.018,4.23,0.941,76.09,0.211,0.56,0
Tiruvannamalai,Cheyyar,Urban,12.7909,76.5663,Assault,6,Saturday,Evening,365,12.86,76.01,0.296,2,7,7.01,0,46-60,1.033,0.95,0.76,37.76,0.698,0.507,0
Villupuram,Villupuram,Urban,10.1216,77.1857,Theft,4,Tuesday,Night,300,7.8,84.27,0.294,4,15,7.73,1,60+,1.023,1.19,0.843,69.06,0.788,0.641,1
Dharmapuri,Dharmapuri,Urban,13.0122,76.2076,Traffic Violation,1,Wednesday,Evening,231,10.59,81.97,0.75,2,5,1.01,0,46-60,1.011,2.14,0.82,69.74,0.227,0.878,1
Madurai,Melur,Urban,13.305,79.3055,Cybercrime,10,Wednesday,Evening,1450,6.07,88.77,0.309,18,33,3.39,1,46-60,0.995,0.64,0.888,78.21,0.365,0.593,0
Madurai,Usilampatti,Semi-Urban,11.6785,79.5625,Traffic Violation,10,Saturday,Evening,959,4.0,87.06,0.666,18,24,2.1,1,46-60,1.015,0.54,0.871,82.22,0.706,0.789,0
Madurai,Madurai South,Semi-Urban,9.7429,80.3568,Fraud,11,Saturday,Evening,1057,7.92,87.07,0.742,9,24,1.15,1,60+,0.994,0.73,0.871,81.2,0.521,0.765,1
Villupuram,Gingee,Urban,9.5033,76.5645,Burglary,9,Thursday,Night,640,12.29,67.38,0.458,3,15,0.52,0,18-25,1.04,4.85,0.674,51.68,0.32,0.718,1
Dharmapuri,Palacode,Semi-Urban,10.7345,78.5653,Assault,12,Monday,Evening,726,13.0,68.17,0.649,7,3,2.42,1,26-35,1.017,4.24,0.682,68.44,0.47,0.56,1
Tiruchirappalli,Lalgudi,Rural,11.8823,76.8778,Assault,12,Friday,Morning,761,13.76,70.57,0.256,5,14,4.21,1,18-25,0.946,2.45,0.706,60.31,0.795,0.495,1
Villupuram,Gingee,Rural,13.2684,78.2591,Burglary,5,Friday,Afternoon,581,13.36,82.89,0.469,3,4,4.26,0,46-60,1.054,1.95,0.829,36.64,0.559,0.421,1
Villupuram,Gingee,Rural,10.6057,79.771,Assault,10,Sunday,Evening,791,13.62,81.59,0.378,5,8,0.65,1,60+,0.999,1.69,0.816,48.24,0.613,0.922,0
Ramanathapuram,Kamuthi,Rural,12.5965,80.1214,Cybercrime,6,Monday,Evening,758,7.21,73.08,0.487,7,6,4.82,0,60+,0.985,0.84,0.731,55.3,0.49,0.338,0
Villupuram,Gingee,Rural,11.6264,78.5164,Drug Offense,3,Friday,Night,750,7.27,73.23,0.771,4,15,4.38,0,26-35,0.922,1.34,0.732,54.45,0.675,0.345,1
Chennai,Sholinganallur,Semi-Urban,12.7818,77.2943,Burglary,12,Monday,Night,975,3.52,93.98,0.49,9,38,3.2,1,60+,1.075,0.94,0.94,77.33,0.884,0.839,1
Ramanathapuram,Ramanathapuram,Semi-Urban,12.7308,78.3213,Traffic Violation,10,Thursday,Night,648,10.12,71.38,0.306,5,5,5.52,1,36-45,1.068,4.69,0.714,67.85,0.691,0.451,1
Tiruchirappalli,Tiruchirappalli,Semi-Urban,9.2327,78.1517,Drug Offense,7,Saturday,Night,579,14.42,65.4,0.789,7,11,3.22,0,36-45,1.028,2.54,0.654,64.02,0.525,0.765,1
Vellore,Vellore,Semi-Urban,13.0346,77.3211,Drug Offense,4,Thursday,Morning,654,9.23,82.09,0.256,3,15,0.93,1,18-25,1.081,1.17,0.821,50.12,0.576,0.577,0
Kanchipuram,Madurantakam,Semi-Urban,11.8413,77.6814,Vandalism,9,Wednesday,Afternoon,696,9.93,68.49,0.655,4,13,5.48,0,36-45,1.099,1.07,0.685,52.32,0.826,0.561,0
Madurai,Madurai South,Urban,12.7603,77.3788,Domestic Violence,3,Wednesday,Afternoon,1268,3.62,91.07,0.127,17,18,1.28,0,60+,0.993,4.47,0.911,86.77,0.256,0.483,0
Tirunelveli,Nanguneri,Semi-Urban,9.6399,79.7178,Fraud,6,Wednesday,Morning,714,9.18,69.17,0.685,8,11,7.3,0,18-25,0.921,2.81,0.692,39.55,0.466,0.426,1
Sivaganga,Karaikudi,Urban,11.8699,78.3014,Cybercrime,6,Thursday,Afternoon,283,7.64,72.73,0.157,7,2,5.75,0,60+,1.044,0.77,0.727,40.21,0.372,0.342,0
Tirunelveli,Tirunelveli,Urban,12.233,79.52,Drug Offense,8,Sunday,Night,247,8.94,83.73,0.254,4,8,1.17,0,36-45,0.943,1.21,0.837,68.82,0.688,0.344,1
Tiruchirappalli,Lalgudi,Rural,8.1264,77.5171,Fraud,2,Sunday,Evening,435,7.17,75.02,0.188,5,10,4.86,0,18-25,1.022,1.02,0.75,58.52,0.887,0.805,0
Thoothukudi,Thoothukudi,Rural,9.9983,77.4177,Fraud,5,Sunday,Night,587,12.38,82.14,0.696,2,8,1.91,0,26-35,0.954,1.94,0.821,55.68,0.727,0.591,0
Chennai,Chennai North,Urban,8.7696,77.9984,Assault,1,Thursday,Night,1748,4.37,88.38,0.187,8,28,6.63,0,26-35,0.989,3.64,0.884,82.68,0.241,0.597,1
Thanjavur,Papanasam,Semi-Urban,11.1647,77.9034,Traffic Violation,12,Tuesday,Night,634,6.28,84.18,0.448,7,5,5.31,1,46-60,1.03,3.01,0.842,44.25,0.783,0.93,1
Thoothukudi,Kovilpatti,Semi-Urban,13.4405,78.0439,Drug Offense,1,Monday,Night,233,9.15,76.25,0.746,4,9,1.53,0,60+,1.028,2.25,0.762,41.64,0.281,0.475,0
Vellore,Arcot,Rural,12.1652,78.6216,Assault,2,Tuesday,Morning,237,13.35,71.9,0.519,5,8,0.51,0,46-60,0.943,1.4,0.719,42.34,0.593,0.685,1
Namakkal,Kumarapalayam,Rural,12.3144,80.371,Property Crime,7,Friday,Night,498,13.33,66.86,0.16,6,14,5.75,0,46-60,0.928,4.98,0.669,45.7,0.227,0.541,1
Tiruvannamalai,Cheyyar,Rural,12.7481,79.1978,Assault,1,Thursday,Evening,333,11.42,69.11,0.336,2,12,6.1,0,18-25,1.075,0.74,0.691,53.69,0.202,0.841,0
Thanjavur,Papanasam,Urban,10.3333,78.9097,Domestic Violence,2,Sunday,Afternoon,549,10.59,66.74,0.643,8,13,2.47,0,46-60,1.062,1.5,0.667,36.69,0.478,0.348,0
Sivaganga,Manamadurai,Semi-Urban,8.4609,80.0992,Property Crime,3,Saturday,Morning,776,14.95,72.01,0.592,3,3,3.74,0,26-35,0.94,0.76,0.72,53.62,0.58,0.34,1
Thoothukudi,Srivaikuntam,Urban,11.0858,76.9612,Burglary,8,Sunday,Morning,486,14.38,83.93,0.113,8,11,6.36,0,46-60,0.997,3.45,0.839,40.52,0.551,0.782,0
Villupuram,Gingee,Rural,12.7756,78.579,Drug Offense,10,Wednesday,Evening,538,6.24,67.86,0.421,8,6,1.33,1,60+,0.953,4.74,0.679,67.09,0.367,0.666,0
Karur,Kadavur,Semi-Urban,8.1008,77.1988,Vandalism,12,Wednesday,Morning,400,14.52,79.76,0.5,7,4,0.65,1,46-60,1.05,2.26,0.798,53.99,0.791,0.805,1
Cuddalore,Kattumannarkoil,Semi-Urban,13.0535,77.3141,Property Crime,2,Thursday,Evening,462,12.13,73.32,0.764,4,10,2.05,0,26-35,1.055,0.84,0.733,59.7,0.302,0.391,0
Thoothukudi,Ottapidaram,Semi-Urban,12.1963,79.4559,Theft,6,Thursday,Afternoon,702,9.06,77.33,0.144,8,10,4.72,0,46-60,0.956,1.11,0.773,31.92,0.424,0.873,0
Dharmapuri,Dharmapuri,Urban,11.8663,77.4957,Theft,10,Saturday,Evening,241,14.46,76.68,0.516,4,4,0.77,1,18-25,0.941,3.22,0.767,65.39,0.48,0.682,1
Karur,Kulithalai,Semi-Urban,12.5704,79.3924,Drug Offense,11,Sunday,Afternoon,560,7.29,80.52,0.503,5,15,3.97,1,60+,1.074,1.1,0.805,46.49,0.703,0.351,0
Kanchipuram,Sriperumbudur,Rural,9.0665,79.9398,Drug Offense,12,Monday,Night,290,11.55,67.61,0.395,4,12,4.81,1,18-25,0.966,3.97,0.676,59.26,0.819,0.924,1
Coimbatore,Mettupalayam,Urban,10.1574,78.5724,Traffic Violation,4,Thursday,Morning,1296,3.9,91.54,0.441,23,33,5.47,1,46-60,0.989,1.01,0.915,82.55,0.279,0.614,1
Karur,Kadavur,Rural,9.2289,79.8234,Cybercrime,5,Saturday,Evening,567,5.86,73.43,0.229,7,14,1.78,0,36-45,0.985,1.59,0.734,68.93,0.751,0.865,1
Dindigul,Palani,Rural,10.2202,79.6444,Fraud,11,Wednesday,Afternoon,781,14.72,80.24,0.418,8,10,4.68,1,36-45,1.029,0.73,0.802,69.03,0.705,0.327,1
Vellore,Pernambut,Semi-Urban,8.3102,76.8706,Burglary,5,Sunday,Evening,732,12.8,66.29,0.182,4,3,6.06,0,18-25,0.916,2.38,0.663,39.9,0.296,0.921,1
Karur,Aravakurichi,Semi-Urban,13.0925,78.6967,Traffic Violation,2,Saturday,Night,725,12.85,73.01,0.128,5,11,4.8,0,18-25,1.012,4.89,0.73,37.92,0.425,0.306,0
Cuddalore,Cuddalore,Rural,10.7627,77.7419,Domestic Violence,4,Friday,Morning,440,10.01,69.98,0.263,7,5,5.89,1,46-60,1.021,3.26,0.7,32.63,0.779,0.583,1
Dindigul,Kodaikanal,Rural,8.512,76.2375,Vandalism,10,Wednesday,Evening,603,7.15,72.35,0.19,3,2,1.37,1,18-25,0.961,2.49,0.723,43.28,0.854,0.432,0
Erode,Bhavani,Rural,10.1836,76.6373,Vandalism,8,Thursday,Night,573,14.1,68.55,0.54,6,4,6.07,0,60+,1.064,2.42,0.685,60.82,0.29,0.686,0
Tiruchirappalli,Lalgudi,Semi-Urban,9.6015,77.6513,Property Crime,4,Thursday,Morning,505,12.86,75.3,0.469,2,13,2.6,1,60+,0.996,0.63,0.753,61.93,0.268,0.939,1
Tiruvannamalai,Cheyyar,Urban,13.4079,77.9475,Domestic Violence,6,Tuesday,Evening,474,14.1,66.92,0.711,6,10,6.89,0,60+,0.999,2.05,0.669,31.8,0.898,0.827,1
Salem,Vazhapadi,Rural,11.945,78.6339,Traffic Violation,2,Saturday,Night,387,9.57,77.42,0.689,2,13,6.41,0,26-35,0.931,3.69,0.774,64.86,0.83,0.597,0
Karur,Karur,Semi-Urban,11.3775,80.1301,Domestic Violence,4,Wednesday,Night,674,14.34,72.13,0.699,4,2,1.4,1,26-35,1.007,3.75,0.721,67.24,0.651,0.376,1
Virudhunagar,Virudhunagar,Rural,8.8978,78.7578,Domestic Violence,9,Thursday,Morning,396,9.43,73.96,0.506,6,10,6.2,0,26-35,0.99,2.11,0.74,52.68,0.269,0.354,1
Tiruvannamalai,Polur,Rural,11.4358,80.317,Burglary,7,Friday,Night,507,12.86,71.07,0.655,4,12,6.86,0,60+,0.909,3.85,0.711,41.12,0.209,0.783,1
Tirunelveli,Palayamkottai,Rural,11.0389,77.6533,Theft,3,Tuesday,Afternoon,264,9.14,78.16,0.657,2,15,3.86,0,36-45,1.07,1.16,0.782,52.74,0.585,0.553,1
Tiruchirappalli,Musiri,Rural,10.5636,79.9767,Property Crime,7,Monday,Morning,681,6.38,73.79,0.727,4,6,6.04,0,26-35,0.972,4.53,0.738,52.88,0.499,0.566,0
Sivaganga,Karaikudi,Semi-Urban,9.7463,79.6466,Assault,9,Saturday,Evening,286,10.3,83.09,0.4,8,7,7.92,0,60+,0.994,0.7,0.831,38.46,0.36,0.726,0
Villupuram,Villupuram,Semi-Urban,11.4859,79.982,Cybercrime,11,Monday,Morning,717,6.22,79.19,0.361,5,10,6.73,1,60+,0.961,1.26,0.792,65.37,0.566,0.706,1
Krishnagiri,Hosur,Urban,13.3744,78.3757,Fraud,8,Saturday,Afternoon,549,6.56,72.78,0.7,2,6,3.17,0,60+,0.911,4.3,0.728,64.11,0.248,0.662,0
Tirunelveli,Palayamkottai,Urban,10.5845,80.4337,Domestic Violence,6,Thursday,Evening,655,10.05,70.01,0.459,5,9,1.67,0,60+,1.075,2.75,0.7,57.74,0.425,0.804,0
Virudhunagar,Aruppukkottai,Urban,10.5676,77.5861,Traffic Violation,5,Friday,Morning,623,7.8,67.26,0.406,6,11,2.02,0,26-35,0.977,3.0,0.673,43.28,0.387,0.422,1
Chennai,Chennai Central,Urban,9.0606,78.5994,Burglary,3,Sunday,Afternoon,816,7.63,89.77,0.182,24,37,3.57,0,46-60,1.099,2.1,0.898,72.25,0.876,0.323,1
Madurai,Melur,Semi-Urban,10.3943,78.612,Drug Offense,5,Tuesday,Afternoon,1487,4.39,91.86,0.179,16,15,4.3,0,26-35,1.05,2.16,0.919,74.34,0.59,0.364,1
Chennai,Sholinganallur,Urban,9.9351,76.552,Drug Offense,3,Saturday,Night,967,4.06,89.82,0.615,10,16,2.46,0,36-45,0.95,2.73,0.898,85.52,0.313,0.655,0
Villupuram,Tindivanam,Rural,8.5649,77.2533,Assault,2,Sunday,Evening,558,7.76,82.25,0.433,6,2,2.77,0,46-60,0.907,1.87,0.822,37.53,0.461,0.47,1
Salem,Omalur,Rural,11.2987,78.06,Vandalism,3,Tuesday,Night,712,11.41,83.11,0.597,8,13,7.67,0,18-25,1.045,2.58,0.831,64.75,0.423,0.424,1
Virudhunagar,Kariapatti,Semi-Urban,13.1995,78.8973,Assault,3,Monday,Evening,552,12.59,73.54,0.54,2,3,6.34,0,26-35,0.998,0.62,0.735,57.35,0.538,0.844,0
Thoothukudi,Kovilpatti,Rural,13.2751,77.9573,Drug Offense,5,Wednesday,Afternoon,616,6.79,72.73,0.745,6,4,7.84,0,26-35,0.913,4.79,0.727,35.75,0.435,0.764,0
Madurai,Melur,Urban,13.4618,77.8343,Fraud,1,Sunday,Morning,1048,3.33,85.46,0.669,24,24,1.32,0,18-25,0.98,4.45,0.855,88.6,0.447,0.816,0
Tiruchirappalli,Musiri,Rural,11.446,80.0013,Burglary,7,Thursday,Night,614,5.77,84.17,0.479,2,15,3.73,0,18-25,1.007,2.37,0.842,65.27,0.534,0.317,0
Madurai,Madurai South,Urban,9.0771,76.8754,Cybercrime,11,Tuesday,Night,1000,7.3,86.05,0.712,15,18,3.92,1,26-35,1.047,2.24,0.86,78.78,0.599,0.587,1
Krishnagiri,Denkanikottai,Rural,13.2933,78.4715,Theft,1,Monday,Night,295,14.31,80.81,0.612,2,3,3.28,0,60+,1.01,4.17,0.808,60.06,0.88,0.532,1
Erode,Gobichettipalayam,Semi-Urban,10.9622,78.5802,Burglary,12,Thursday,Afternoon,266,14.92,77.92,0.66,4,10,5.58,1,36-45,0.981,4.95,0.779,54.59,0.697,0.407,1
Sivaganga,Ilayangudi,Urban,8.1981,76.4511,Cybercrime,8,Wednesday,Afternoon,319,6.44,77.46,0.765,7,9,2.98,0,60+,0.998,3.33,0.775,39.9,0.324,0.878,0
Tiruchirappalli,Lalgudi,Rural,12.5802,79.7298,Assault,10,Saturday,Night,362,12.83,74.72,0.414,4,6,5.64,1,18-25,0.996,2.9,0.747,35.77,0.381,0.681,0
Chennai,Sholinganallur,Semi-Urban,10.1845,77.7071,Property Crime,9,Friday,Night,1026,4.33,91.57,0.396,15,40,4.64,0,60+,0.923,1.75,0.916,72.83,0.44,0.378,0
Salem,Omalur,Semi-Urban,12.4286,80.1387,Theft,7,Wednesday,Night,513,14.07,79.81,0.728,8,14,6.48,0,46-60,1.022,1.22,0.798,42.81,0.221,0.906,1
Erode,Modakurichi,Rural,11.1215,79.9855,Theft,11,Tuesday,Night,510,12.41,82.92,0.381,4,13,4.05,1,26-35,1.094,3.03,0.829,51.66,0.672,0.332,0
Cuddalore,Cuddalore,Rural,11.4435,79.7736,Burglary,10,Monday,Night,275,14.33,76.56,0.109,5,15,3.14,1,46-60,0.943,4.72,0.766,50.48,0.802,0.735,1
Karur,Karur,Rural,8.5917,79.9977,Property Crime,10,Thursday,Evening,474,5.71,73.42,0.713,2,4,2.71,1,46-60,0.903,1.12,0.734,49.85,0.758,0.351,0
Krishnagiri,Pochampalli,Rural,9.8178,78.4332,Theft,10,Friday,Morning,497,5.79,69.7,0.702,8,15,1.21,1,46-60,0.951,2.45,0.697,52.16,0.596,0.301,0
Krishnagiri,Denkanikottai,Semi-Urban,10.2339,77.1479,Assault,5,Monday,Morning,344,10.7,65.3,0.255,7,14,2.25,0,18-25,1.076,3.46,0.653,49.48,0.478,0.744,1
Tiruchirappalli,Tiruchirappalli,Urban,8.6188,76.8967,Vandalism,11,Thursday,Evening,702,10.88,75.79,0.689,6,4,6.51,1,46-60,1.015,2.03,0.758,46.61,0.237,0.443,1
Coimbatore,Mettupalayam,Urban,9.9215,78.2316,Vandalism,9,Sunday,Afternoon,812,5.4,92.69,0.44,23,37,6.7,0,18-25,1.091,1.83,0.927,73.13,0.234,0.353,0
Coimbatore,Sulur,Urban,12.0648,78.6325,Traffic Violation,5,Saturday,Evening,1385,6.27,86.33,0.303,9,33,7.97,0,36-45,1.057,0.77,0.863,89.11,0.454,0.579,1
Salem,Sankagiri,Rural,8.1025,76.6695,Traffic Violation,5,Friday,Morning,387,8.84,84.49,0.675,8,12,7.35,0,46-60,0.909,3.32,0.845,51.22,0.621,0.835,0
Namakkal,Namakkal,Rural,12.3487,78.9064,Theft,11,Sunday,Afternoon,366,13.64,78.3,0.57,8,7,6.78,1,60+,0.972,3.39,0.783,38.96,0.383,0.855,0
Karur,Aravakurichi,Rural,8.1034,79.6506,Theft,11,Monday,Night,658,12.02,83.48,0.491,8,2,1.71,1,60+,0.978,3.7,0.835,35.31,0.703,0.794,0
Sivaganga,Ilayangudi,Rural,9.1953,79.527,Cybercrime,2,Wednesday,Evening,386,12.75,80.42,0.282,3,10,7.18,0,26-35,1.036,4.85,0.804,53.87,0.211,0.932,0
Salem,Sankagiri,Rural,11.626,80.4673,Drug Offense,2,Saturday,Evening,697,13.89,84.41,0.524,4,4,3.93,0,46-60,0.978,0.99,0.844,62.83,0.4,0.696,0
Dindigul,Nilakottai,Semi-Urban,12.2192,77.6262,Cybercrime,9,Monday,Night,567,8.52,84.51,0.367,4,10,6.56,0,36-45,1.01,3.29,0.845,69.63,0.449,0.344,0
Tiruvannamalai,Arani,Semi-Urban,9.6488,77.6993,Fraud,7,Saturday,Afternoon,768,12.71,83.56,0.645,4,3,4.9,0,46-60,0.915,4.21,0.836,66.96,0.424,0.505,0
Virudhunagar,Kariapatti,Semi-Urban,8.2227,79.9865,Burglary,4,Wednesday,Night,265,11.07,77.46,0.481,4,12,6.07,1,60+,1.061,2.28,0.775,33.11,0.461,0.649,1
Dindigul,Nilakottai,Semi-Urban,10.8068,76.5658,Traffic Violation,6,Monday,Morning,439,7.01,76.98,0.592,7,6,5.97,0,60+,1.054,4.32,0.77,40.06,0.887,0.342,0
Virudhunagar,Virudhunagar,Semi-Urban,8.9841,77.4431,Burglary,9,Thursday,Night,775,11.79,82.99,0.524,7,12,1.11,0,60+,0.949,0.92,0.83,47.04,0.757,0.605,1
Chennai,Sholinganallur,Urban,9.1732,76.0096,Theft,3,Friday,Night,1387,3.25,93.07,0.378,21,24,0.91,0,60+,1.052,4.31,0.931,89.05,0.506,0.647,0
Dharmapuri,Harur,Rural,9.2248,77.1109,Assault,8,Thursday,Evening,234,8.35,75.61,0.488,4,2,3.52,0,26-35,0.973,2.87,0.756,64.09,0.465,0.507,0
Tiruchirappalli,Thuraiyur,Urban,13.1996,77.2467,Fraud,3,Thursday,Night,720,11.32,73.6,0.269,7,8,1.62,0,26-35,1.092,2.51,0.736,66.65,0.73,0.811,1
Vellore,Katpadi,Semi-Urban,9.308,78.363,Burglary,7,Tuesday,Night,209,12.62,69.04,0.339,8,11,2.97,0,18-25,1.081,3.32,0.69,31.56,0.463,0.75,1
Dindigul,Palani,Rural,13.0282,80.0097,Drug Offense,3,Wednesday,Evening,556,9.63,67.36,0.643,8,14,2.46,0,26-35,0.988,1.39,0.674,64.88,0.853,0.72,0
Cuddalore,Cuddalore,Rural,8.343,77.9542,Assault,4,Wednesday,Morning,261,14.63,75.64,0.582,2,15,0.95,1,18-25,0.938,1.27,0.756,34.43,0.692,0.522,1
Karur,Kadavur,Rural,8.2754,77.4744,Drug Offense,12,Wednesday,Evening,568,9.39,80.77,0.451,5,2,6.42,1,60+,0.962,1.16,0.808,44.83,0.574,0.868,0
Tiruchirappalli,Musiri,Semi-Urban,9.926,77.2734,Drug Offense,3,Monday,Night,540,7.75,67.06,0.613,8,6,6.86,0,60+,1.035,3.71,0.671,66.9,0.222,0.43,1
Tirunelveli,Radhapuram,Rural,9.6756,76.9506,Burglary,8,Thursday,Night,417,5.59,82.7,0.161,7,2,1.88,0,60+,0.935,4.62,0.827,49.97,0.333,0.35,0
Karur,Aravakurichi,Rural,9.4899,76.3677,Vandalism,7,Friday,Afternoon,692,14.03,78.83,0.675,4,11,7.41,0,36-45,0.981,0.73,0.788,63.97,0.519,0.461,0
Vellore,Gudiyatham,Semi-Urban,8.3574,77.4827,Traffic Violation,2,Sunday,Morning,505,7.65,73.18,0.528,8,15,7.29,0,18-25,0.916,3.55,0.732,31.09,0.441,0.814,0
Karur,Krishnarayapuram,Rural,12.7248,79.6744,Theft,8,Thursday,Evening,611,13.65,71.48,0.255,8,14,2.06,0,26-35,0.987,3.78,0.715,57.62,0.346,0.516,1
