district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,weather,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Chennai,Chennai Central,Urban,12.7607,79.7377,Cybercrime,6,Tuesday,Afternoon,1184,3.38,91.16,0.119,21,40,0.61,Sunny,0,26-35,0.925,2.55,0.912,75.1,0.449,0.341,1
Chennai,Sholinganallur,Urban,12.7889,78.7551,Fraud,5,Sunday,Morning,1784,6.49,94.97,0.126,11,24,1.24,Cloudy,0,36-45,0.972,3.31,0.95,88.06,0.737,0.926,0
Krishnagiri,Hosur,Rural,9.0605,78.212,Property Crime,5,Monday,Morning,410,5.77,73.82,0.379,3,4,6.67,Cloudy,0,46-60,1.054,1.52,0.738,69.45,0.659,0.521,1
Thanjavur,Thiruvidaimarudur,Urban,12.1674,76.6076,Drug Offense,8,Friday,Afternoon,383,5.71,70.7,0.795,4,9,6.62,Rainy,0,36-45,1.032,4.21,0.707,61.84,0.37,0.775,1
Krishnagiri,Hosur,Rural,10.3496,78.1987,Theft,1,Tuesday,Afternoon,630,6.26,77.17,0.451,6,4,1.93,Sunny,0,26-35,0.94,2.33,0.772,38.98,0.624,0.37,1
Dindigul,Palani,Semi-Urban,12.0319,77.5108,Burglary,12,Tuesday,Night,752,10.86,83.33,0.649,2,15,6.44,Rainy,1,18-25,1.076,4.61,0.833,35.19,0.33,0.531,1
Chennai,Ambattur,Urban,9.0839,79.8553,Traffic Violation,3,Thursday,Evening,1777,5.12,93.95,0.267,16,23,4.51,Cloudy,0,36-45,1.065,3.26,0.94,81.59,0.315,0.554,1
Cuddalore,Chidambaram,Rural,10.0308,78.6181,Property Crime,4,Monday,Night,790,13.3,68.66,0.238,4,13,4.58,Rainy,1,36-45,0.98,1.07,0.687,34.03,0.348,0.44,1
Ramanathapuram,Paramakudi,Rural,12.5697,77.4559,Cybercrime,8,Tuesday,Morning,574,6.75,69.8,0.773,3,3,3.91,Cloudy,0,18-25,1.03,4.82,0.698,36.15,0.381,0.332,0
Kanchipuram,Sriperumbudur,Semi-Urban,12.3658,80.4028,Vandalism,9,Tuesday,Morning,571,7.04,73.54,0.553,8,15,7.14,Rainy,0,26-35,0.915,0.99,0.735,40.78,0.419,0.683,1
Tiruvannamalai,Polur,Rural,13.1547,77.0423,Traffic Violation,1,Friday,Afternoon,581,5.2,66.02,0.339,6,11,6.74,Sunny,0,36-45,1.083,3.65,0.66,69.01,0.433,0.645,0
Thanjavur,Thanjavur,Rural,10.2286,76.5725,Drug Offense,10,Tuesday,Night,460,9.51,68.64,0.734,2,4,6.12,Rainy,1,18-25,0.967,1.62,0.686,64.53,0.65,0.586,1
Thoothukudi,Kovilpatti,Semi-Urban,8.4258,77.2003,Cybercrime,5,Friday,Night,538,6.28,71.57,0.515,3,12,3.37,Sunny,0,26-35,0.904,3.37,0.716,50.54,0.306,0.638,0
Dharmapuri,Palacode,Semi-Urban,11.7808,77.1359,Cybercrime,9,Wednesday,Evening,650,9.6,67.11,0.641,3,13,4.51,Sunny,0,18-25,0.926,0.56,0.671,30.86,0.347,0.661,1
Thanjavur,Thiruvidaimarudur,Rural,10.7942,78.1368,Cybercrime,7,Wednesday,Night,665,5.61,70.6,0.53,3,13,1.47,Sunny,0,36-45,0.95,3.86,0.706,43.38,0.716,0.62,1
Vellore,Gudiyatham,Semi-Urban,8.999,79.3707,Vandalism,7,Friday,Afternoon,731,9.51,67.38,0.587,5,11,1.66,Rainy,0,18-25,0.943,2.0,0.674,59.79,0.306,0.669,1
Dharmapuri,Dharmapuri,Rural,9.2426,78.7335,Vandalism,10,Friday,Morning,750,6.0,81.51,0.575,6,10,1.69,Cloudy,1,46-60,0.979,1.97,0.815,67.2,0.814,0.777,0
Salem,Salem,Semi-Urban,8.0416,77.1149,Drug Offense,4,Saturday,Afternoon,370,9.89,73.3,0.769,3,11,7.56,Cloudy,1,60+,1.066,0.71,0.733,53.81,0.805,0.567,0
Erode,Anthiyur,Rural,10.1647,80.3868,Assault,10,Friday,Evening,487,13.71,69.97,0.197,2,5,0.74,Rainy,1,36-45,0.95,4.78,0.7,35.6,0.297,0.901,0
Tiruchirappalli,Thuraiyur,Rural,9.9608,76.9724,Burglary,5,Saturday,Afternoon,275,10.82,70.9,0.443,2,6,2.52,Rainy,0,18-25,0.969,2.55,0.709,54.53,0.896,0.911,0
Thanjavur,Thiruvidaimarudur,Rural,12.6944,77.0649,Theft,5,Tuesday,Evening,471,14.88,65.06,0.486,3,11,3.91,Sunny,0,36-45,1.091,3.68,0.651,36.77,0.211,0.731,0
Cuddalore,Panruti,Urban,12.7847,79.1487,Theft,7,Saturday,Evening,525,12.56,72.21,0.687,6,6,0.92,Rainy,0,18-25,1.008,0.95,0.722,59.43,0.452,0.715,0
Virudhunagar,Aruppukkottai,Semi-Urban,9.5158,76.5351,Assault,4,Monday,Evening,586,9.85,70.52,0.318,5,15,0.88,Hot,1,36-45,0.903,4.41,0.705,55.43,0.839,0.655,1
Coimbatore,Mettupalayam,Urban,11.814,79.5435,Cybercrime,2,Monday,Evening,1804,7.74,87.48,0.706,16,30,4.48,Rainy,0,18-25,0.945,0.74,0.875,81.05,0.779,0.656,1
Thanjavur,Kumbakonam,Urban,11.1349,77.7243,Theft,4,Friday,Evening,629,12.41,79.66,0.154,6,8,5.1,Hot,1,36-45,0.943,4.66,0.797,50.36,0.391,0.788,0
Thoothukudi,Kovilpatti,Rural,10.0028,78.7226,Theft,11,Monday,Afternoon,566,11.71,72.19,0.281,7,12,5.27,Sunny,1,26-35,0.93,1.29,0.722,39.45,0.339,0.305,1
Dharmapuri,Palacode,Rural,8.8083,79.9625,Theft,7,Tuesday,Evening,263,9.21,80.66,0.579,7,4,6.77,Rainy,0,36-45,1.09,2.99,0.807,35.97,0.799,0.612,0
Thoothukudi,Kovilpatti,Rural,9.2746,78.4216,Vandalism,8,Wednesday,Afternoon,719,5.23,80.72,0.546,4,9,3.81,Cloudy,0,46-60,0.978,1.34,0.807,58.75,0.873,0.561,1
Cuddalore,Vridhachalam,Semi-Urban,12.1871,76.8559,Drug Offense,1,Thursday,Morning,767,9.33,76.44,0.795,2,10,7.03,Rainy,0,26-35,0.927,3.61,0.764,56.87,0.501,0.442,1
Sivaganga,Sivaganga,Rural,11.307,77.8102,Theft,4,Saturday,Evening,324,13.44,71.98,0.44,3,12,3.13,Hot,1,46-60,0.909,4.87,0.72,58.79,0.709,0.396,1
Tiruvannamalai,Polur,Urban,8.2412,78.4535,Domestic Violence,10,Sunday,Night,342,14.79,84.06,0.272,5,11,6.25,Rainy,1,36-45,0.993,2.98,0.841,42.11,0.668,0.438,1
Ramanathapuram,Kamuthi,Semi-Urban,11.8591,79.2592,Fraud,7,Thursday,Morning,437,7.09,83.05,0.473,8,12,0.78,Rainy,0,18-25,1.027,3.81,0.83,62.28,0.603,0.891,1
Namakkal,Kolli Hills,Rural,13.2128,76.7358,Traffic Violation,3,Wednesday,Morning,664,8.03,74.71,0.799,8,6,1.9,Rainy,0,60+,0.923,2.62,0.747,68.75,0.86,0.485,0
Vellore,Pernambut,Semi-Urban,12.6519,76.1346,Domestic Violence,12,Thursday,Night,767,11.14,75.79,0.106,4,10,2.07,Hot,1,18-25,0.927,3.87,0.758,54.94,0.723,0.657,0
Tirunelveli,Tirunelveli,Rural,8.7009,77.0206,Property Crime,3,Thursday,Morning,797,14.82,81.51,0.241,4,6,4.44,Rainy,0,46-60,1.041,1.45,0.815,36.67,0.278,0.907,1
Madurai,Madurai South,Urban,12.3066,80.3102,Theft,2,Friday,Night,1258,6.75,88.29,0.728,10,35,0.52,Rainy,0,18-25,1.072,4.8,0.883,70.35,0.209,0.478,1
Tirunelveli,Radhapuram,Rural,9.8101,77.4396,Vandalism,9,Sunday,Morning,693,9.5,68.2,0.513,3,4,6.14,Hot,0,60+,0.917,4.21,0.682,58.79,0.708,0.718,0
Thanjavur,Thanjavur,Rural,12.2643,76.0755,Cybercrime,4,Sunday,Evening,317,11.63,79.19,0.426,8,14,0.58,Sunny,1,60+,1.033,2.07,0.792,52.88,0.348,0.623,0
Thanjavur,Thanjavur,Rural,10.6055,78.0267,Traffic Violation,12,Monday,Afternoon,702,7.19,74.04,0.196,4,8,0.91,Cloudy,1,18-25,0.911,4.01,0.74,32.61,0.585,0.327,0
Madurai,Madurai North,Urban,13.0147,79.4355,Fraud,7,Wednesday,Evening,1976,3.1,94.84,0.58,19,20,1.6,Rainy,0,18-25,0.906,0.59,0.948,71.15,0.216,0.599,1
Erode,Erode,Semi-Urban,10.6529,78.2549,Fraud,10,Saturday,Evening,735,14.78,76.11,0.649,5,6,3.67,Rainy,1,60+,0.924,2.27,0.761,30.71,0.28,0.419,1
Ramanathapuram,Paramakudi,Semi-Urban,10.6496,76.1349,Vandalism,5,Friday,Night,593,8.31,72.12,0.556,7,7,6.32,Rainy,0,36-45,0.94,2.12,0.721,31.81,0.81,0.712,0
Karur,Kulithalai,Rural,11.7193,77.9636,Burglary,1,Tuesday,Evening,517,12.89,71.92,0.566,2,8,2.03,Rainy,0,18-25,1.034,1.37,0.719,66.78,0.778,0.7,0
Dindigul,Nilakottai,Rural,9.3004,76.479,Drug Offense,8,Thursday,Evening,589,13.27,73.86,0.158,6,12,7.64,Cloudy,0,60+,1.091,4.23,0.739,49.2,0.407,0.841,1
Virudhunagar,Aruppukkottai,Rural,8.9486,76.1044,Domestic Violence,9,Friday,Evening,355,5.8,77.54,0.525,6,8,0.78,Cloudy,0,26-35,0.906,1.3,0.775,58.11,0.802,0.621,1
Karur,Kulithalai,Semi-Urban,10.8964,76.0835,Cybercrime,7,Saturday,Evening,656,10.98,79.82,0.604,2,11,1.7,Cloudy,0,18-25,1.052,4.68,0.798,49.08,0.873,0.931,0
Villupuram,Kallakurichi,Rural,9.9613,77.7026,Assault,8,Tuesday,Morning,247,6.59,82.5,0.588,8,2,5.4,Cloudy,0,46-60,0.905,4.08,0.825,33.16,0.889,0.392,0
Chennai,Chennai South,Urban,9.3174,78.8815,Theft,8,Friday,Evening,1159,7.25,88.59,0.752,25,17,2.83,Cloudy,0,18-25,0.976,1.09,0.886,78.22,0.624,0.512,1
Dharmapuri,Nallampalli,Semi-Urban,9.398,80.2689,Burglary,7,Thursday,Night,447,11.23,66.89,0.331,4,7,2.67,Rainy,0,18-25,0.967,4.12,0.669,58.8,0.777,0.363,1
Dindigul,Palani,Semi-Urban,10.8296,78.2758,Vandalism,11,Thursday,Evening,791,13.02,67.73,0.22,5,10,4.15,Cloudy,1,18-25,0.902,1.96,0.677,54.27,0.536,0.916,0
Thanjavur,Kumbakonam,Semi-Urban,12.4839,76.2291,Vandalism,4,Wednesday,Night,305,5.15,72.12,0.72,6,10,5.53,Hot,1,36-45,1.066,1.95,0.721,48.22,0.865,0.872,1
Tiruchirappalli,Tiruchirappalli,Rural,11.6152,76.9519,Vandalism,1,Wednesday,Afternoon,280,9.31,75.05,0.65,6,9,6.0,Cloudy,0,36-45,1.057,2.25,0.75,47.97,0.596,0.386,0
Tirunelveli,Palayamkottai,Rural,10.1036,79.5822,Burglary,7,Saturday,Afternoon,477,14.62,77.71,0.155,6,7,1.34,Cloudy,0,26-35,1.039,2.7,0.777,34.76,0.535,0.395,0
Kanchipuram,Chengalpattu,Rural,11.0156,80.3827,Cybercrime,4,Monday,Evening,679,8.82,68.14,0.15,2,5,7.48,Cloudy,1,60+,1.092,1.84,0.681,35.02,0.767,0.781,0
Krishnagiri,Krishnagiri,Rural,9.1381,77.8082,Fraud,10,Saturday,Night,234,12.28,79.1,0.543,8,4,6.71,Sunny,1,46-60,1.012,0.6,0.791,33.48,0.218,0.802,0
Sivaganga,Karaikudi,Semi-Urban,9.9571,78.2733,Theft,12,Monday,Night,416,9.06,81.74,0.441,2,10,5.01,Sunny,1,18-25,0.903,3.02,0.817,30.84,0.683,0.436,1
Salem,Salem,Semi-Urban,9.928,79.7792,Fraud,12,Monday,Morning,465,8.96,81.38,0.187,4,5,6.24,Sunny,1,46-60,1.043,2.94,0.814,67.03,0.543,0.421,0
Thoothukudi,Srivaikuntam,Semi-Urban,10.266,77.8348,Domestic Violence,1,Monday,Afternoon,235,11.88,80.1,0.588,3,11,5.96,Hot,0,60+,0.993,1.55,0.801,35.04,0.786,0.443,1
Tiruvannamalai,Vandavasi,Rural,9.0345,76.2585,Fraud,8,Monday,Afternoon,795,12.26,82.72,0.638,4,6,1.68,Rainy,0,60+,1.049,4.3,0.827,68.01,0.797,0.453,1
Krishnagiri,Bargur,Semi-Urban,10.3524,76.8263,Domestic Violence,7,Tuesday,Night,628,10.68,72.09,0.428,6,8,1.18,Hot,0,60+,1.084,0.69,0.721,69.0,0.854,0.78,1
Namakkal,Tiruchengode,Rural,8.487,79.7815,Domestic Violence,9,Wednesday,Night,228,8.64,75.2,0.777,4,14,3.75,Rainy,0,26-35,1.083,2.28,0.752,44.62,0.574,0.488,1
Thanjavur,Thiruvidaimarudur,Rural,11.7352,79.5256,Traffic Violation,11,Thursday,Evening,443,6.9,72.63,0.507,2,15,2.46,Rainy,1,46-60,1.053,4.57,0.726,69.19,0.509,0.546,0
Namakkal,Kumarapalayam,Rural,12.5122,76.3556,Vandalism,3,Monday,Night,415,8.08,78.42,0.312,4,12,7.13,Rainy,0,18-25,0.95,1.84,0.784,47.51,0.44,0.533,0
Thoothukudi,Vilathikulam,Rural,12.6183,77.987,Burglary,7,Monday,Night,456,15.0,80.14,0.476,7,11,6.52,Sunny,0,18-25,1.057,2.61,0.801,47.96,0.38,0.738,1
Sivaganga,Ilayangudi,Rural,8.0969,79.6599,Assault,10,Friday,Afternoon,308,12.4,76.21,0.536,2,5,1.18,Hot,1,46-60,1.023,0.95,0.762,68.95,0.834,0.583,1
Karur,Kulithalai,Rural,8.7021,77.1765,Property Crime,6,Tuesday,Evening,271,14.67,80.74,0.497,2,10,5.26,Hot,0,26-35,1.01,2.29,0.807,30.15,0.569,0.615,0
Thoothukudi,Vilathikulam,Rural,10.65,76.4769,Property Crime,7,Sunday,Morning,697,13.87,73.58,0.518,8,15,1.98,Hot,0,60+,0.97,2.73,0.736,41.71,0.289,0.351,0
Virudhunagar,Kariapatti,Urban,10.8877,79.4866,Traffic Violation,7,Friday,Afternoon,263,7.79,83.3,0.399,7,11,4.56,Sunny,0,36-45,0.984,4.13,0.833,62.06,0.517,0.932,1
Namakkal,Kolli Hills,Semi-Urban,11.8481,76.4023,Cybercrime,10,Friday,Afternoon,409,5.87,67.34,0.636,7,12,1.88,Sunny,1,36-45,1.091,1.54,0.673,49.78,0.244,0.795,0
Thoothukudi,Srivaikuntam,Rural,9.5793,79.0971,Burglary,4,Friday,Evening,243,10.96,82.85,0.197,3,6,6.42,Cloudy,1,60+,1.036,1.12,0.828,41.35,0.322,0.489,0
Thanjavur,Kumbakonam,Rural,12.0078,78.2144,Vandalism,2,Wednesday,Evening,556,9.39,79.32,0.617,7,4,2.06,Sunny,0,60+,0.96,3.59,0.793,34.05,0.202,0.827,1
Tirunelveli,Tirunelveli,Rural,8.1209,79.1044,Burglary,12,Saturday,Night,283,7.28,65.9,0.595,4,8,4.22,Sunny,1,26-35,0.959,3.13,0.659,61.54,0.842,0.607,1
Thoothukudi,Srivaikuntam,Rural,13.0831,78.2389,Assault,4,Thursday,Night,231,5.85,78.15,0.771,6,6,0.81,Cloudy,1,26-35,1.027,3.65,0.782,65.38,0.621,0.469,1
Vellore,Katpadi,Rural,10.112,79.2079,Cybercrime,6,Sunday,Afternoon,656,8.06,76.92,0.71,3,6,1.82,Hot,0,18-25,1.014,4.45,0.769,49.48,0.743,0.869,0
Kanchipuram,Chengalpattu,Rural,12.7399,76.3921,Burglary,3,Monday,Morning,765,6.44,82.46,0.59,7,10,3.15,Cloudy,0,46-60,0.905,1.63,0.825,51.07,0.458,0.673,0
Erode,Anthiyur,Rural,9.4453,79.9853,Property Crime,6,Thursday,Night,371,5.58,70.32,0.468,7,15,0.69,Rainy,0,46-60,1.009,1.8,0.703,64.08,0.685,0.767,0
Vellore,Katpadi,Urban,11.2576,76.9473,Assault,3,Wednesday,Evening,364,9.4,67.17,0.444,5,13,6.76,Sunny,0,18-25,0.935,1.53,0.672,49.22,0.863,0.831,0
Dindigul,Nilakottai,Rural,10.8764,79.9394,Theft,12,Wednesday,Afternoon,322,12.49,81.25,0.631,4,7,6.63,Hot,1,46-60,0.958,4.04,0.812,48.11,0.709,0.308,1
Virudhunagar,Aruppukkottai,Rural,11.245,76.4517,Property Crime,6,Wednesday,Afternoon,363,5.27,78.4,0.778,8,2,0.73,Rainy,0,46-60,0.998,0.61,0.784,59.4,0.836,0.621,1
Erode,Gobichettipalayam,Rural,9.9722,78.6406,Assault,8,Tuesday,Evening,293,9.94,75.51,0.123,7,10,3.26,Cloudy,0,26-35,0.996,4.94,0.755,46.98,0.507,0.728,1
Chennai,Chennai Central,Urban,9.0665,78.112,Assault,7,Tuesday,Evening,1069,3.55,89.18,0.427,8,22,7.57,Cloudy,0,46-60,0.919,0.54,0.892,76.35,0.262,0.877,1
Erode,Gobichettipalayam,Semi-Urban,9.2996,77.4047,Fraud,12,Thursday,Afternoon,357,6.77,78.51,0.465,2,4,3.81,Rainy,1,60+,1.082,4.0,0.785,32.85,0.874,0.903,1
Tirunelveli,Palayamkottai,Rural,8.6923,76.7535,Burglary,7,Friday,Afternoon,239,13.31,74.7,0.353,3,5,2.62,Hot,0,18-25,0.985,1.29,0.747,38.64,0.56,0.59,0
Coimbatore,Coimbatore North,Urban,12.1484,77.732,Assault,2,Saturday,Afternoon,1900,7.26,93.87,0.528,12,30,1.02,Rainy,0,26-35,0.942,1.97,0.939,77.73,0.317,0.511,1
Coimbatore,Coimbatore South,Urban,8.7278,79.0454,Vandalism,12,Thursday,Night,1898,6.21,93.68,0.521,11,31,7.44,Hot,1,36-45,0.913,3.55,0.937,72.8,0.697,0.593,1
Namakkal,Rasipuram,Rural,12.5319,77.856,Domestic Violence,11,Saturday,Morning,212,11.87,77.52,0.424,7,8,2.44,Cloudy,1,26-35,0.9,1.54,0.775,66.35,0.881,0.345,1
Vellore,Pernambut,Rural,13.2829,78.0236,Assault,11,Friday,Night,432,10.1,78.9,0.753,6,3,6.84,Cloudy,1,60+,1.083,0.66,0.789,69.79,0.219,0.568,1
Tirunelveli,Nanguneri,Urban,11.7554,80.291,Domestic Violence,1,Wednesday,Morning,798,7.4,83.25,0.657,4,10,1.28,Rainy,0,36-45,0.913,4.7,0.832,33.04,0.724,0.322,1
Dindigul,Nilakottai,Semi-Urban,10.4926,79.6562,Theft,9,Monday,Evening,743,11.02,68.91,0.122,8,6,1.86,Hot,0,36-45,0.91,4.16,0.689,34.04,0.443,0.448,1
Dharmapuri,Nallampalli,Rural,9.3342,78.1686,Property Crime,3,Thursday,Afternoon,201,7.27,68.61,0.591,2,5,1.1,Rainy,0,60+,1.02,4.28,0.686,43.58,0.292,0.417,1
Dindigul,Dindigul,Rural,12.1629,78.9368,Drug Offense,11,Sunday,Night,207,6.02,71.04,0.137,3,14,0.52,Cloudy,1,26-35,1.054,1.47,0.71,54.67,0.255,0.523,0
Madurai,Madurai South,Urban,12.9281,76.9702,Vandalism,10,Monday,Morning,878,7.65,91.84,0.103,21,19,6.71,Sunny,1,46-60,1.087,2.34,0.918,71.52,0.535,0.549,1
Ramanathapuram,Paramakudi,Semi-Urban,8.5533,80.2087,Drug Offense,10,Tuesday,Morning,782,6.06,70.9,0.704,5,7,4.37,Hot,1,18-25,0.921,1.11,0.709,39.14,0.592,0.559,0
Tiruvannamalai,Vandavasi,Semi-Urban,12.8556,76.747,Burglary,2,Friday,Evening,697,7.35,84.31,0.748,7,4,7.96,Hot,0,36-45,1.087,4.48,0.843,51.47,0.677,0.816,0
Vellore,Pernambut,Semi-Urban,8.2279,77.6708,Traffic Violation,5,Tuesday,Morning,251,8.82,65.73,0.612,4,4,2.7,Rainy,0,18-25,1.014,0.98,0.657,42.76,0.44,0.572,0
Virudhunagar,Aruppukkottai,Rural,8.0078,77.1138,Fraud,2,Sunday,Afternoon,335,9.76,81.52,0.159,2,7,5.88,Hot,0,60+,0.93,2.85,0.815,49.83,0.813,0.95,1
Krishnagiri,Hosur,Semi-Urban,12.0372,76.3389,Assault,4,Tuesday,Evening,715,14.35,65.83,0.754,2,13,5.45,Rainy,1,60+,1.064,0.6,0.658,61.32,0.212,0.935,1
Kanchipuram,Chengalpattu,Rural,12.7483,77.4765,Assault,5,Monday,Evening,574,10.14,66.47,0.123,5,15,5.15,Sunny,0,26-35,0.96,3.39,0.665,61.36,0.237,0.756,1
Tiruvannamalai,Polur,Rural,8.7412,77.4057,Traffic Violation,9,Friday,Morning,289,9.73,79.84,0.744,8,11,5.07,Cloudy,0,26-35,0.984,1.44,0.798,34.67,0.614,0.729,0
Thoothukudi,Kovilpatti,Semi-Urban,11.1533,77.7033,Theft,2,Tuesday,Afternoon,616,5.18,72.2,0.281,5,12,6.66,Sunny,0,46-60,1.038,4.36,0.722,65.86,0.762,0.448,1
Tiruvannamalai,Cheyyar,Rural,13.2426,79.4893,Burglary,1,Wednesday,Morning,767,6.66,73.81,0.28,2,4,4.42,Sunny,0,46-60,1.031,2.91,0.738,32.39,0.215,0.886,0
Tiruchirappalli,Srirangam,Urban,8.7189,80.3122,Cybercrime,6,Thursday,Afternoon,338,10.09,70.02,0.672,8,7,5.21,Hot,0,18-25,0.916,0.73,0.7,57.43,0.269,0.411,1
Tirunelveli,Ambasamudram,Semi-Urban,12.8246,77.1926,Drug Offense,10,Monday,Afternoon,448,5.34,76.58,0.474,2,12,2.35,Hot,1,26-35,0.966,3.59,0.766,61.18,0.222,0.821,1
Villupuram,Gingee,Semi-Urban,11.551,76.8901,Cybercrime,12,Wednesday,Night,603,6.83,79.11,0.723,8,5,3.67,Rainy,1,60+,1.083,4.92,0.791,43.05,0.679,0.922,0
Sivaganga,Karaikudi,Semi-Urban,13.4982,80.4422,Theft,5,Wednesday,Night,593,9.0,71.15,0.252,6,6,4.05,Rainy,0,46-60,1.096,3.91,0.712,63.11,0.67,0.501,0
Dharmapuri,Palacode,Semi-Urban,10.1253,79.6254,Theft,6,Tuesday,Evening,351,13.66,81.3,0.483,7,6,4.78,Rainy,0,46-60,1.062,4.05,0.813,63.06,0.733,0.905,1
Sivaganga,Ilayangudi,Rural,9.5048,76.6302,Domestic Violence,7,Thursday,Evening,251,9.99,76.36,0.349,7,15,2.67,Hot,0,18-25,0.9,4.32,0.764,55.74,0.231,0.851,0
Chennai,Chennai Central,Urban,9.624,77.0136,Fraud,4,Thursday,Afternoon,1976,6.44,92.7,0.687,14,30,0.89,Hot,1,26-35,0.938,2.8,0.927,88.55,0.748,0.85,0
Thanjavur,Thiruvidaimarudur,Rural,10.4733,78.9988,Burglary,6,Thursday,Evening,418,10.94,68.29,0.713,2,6,1.87,Rainy,0,26-35,0.93,1.9,0.683,65.7,0.704,0.304,0
Krishnagiri,Denkanikottai,Rural,8.7899,78.9643,Domestic Violence,7,Wednesday,Afternoon,776,8.62,66.88,0.713,4,8,5.16,Sunny,0,26-35,1.043,3.77,0.669,60.5,0.827,0.337,0
Tiruchirappalli,Lalgudi,Urban,10.3033,76.5285,Property Crime,5,Tuesday,Night,583,10.83,84.64,0.182,8,11,1.88,Hot,0,26-35,0.946,3.66,0.846,35.22,0.626,0.659,1
Cuddalore,Vridhachalam,Semi-Urban,13.4889,80.0772,Theft,9,Tuesday,Evening,497,14.01,78.97,0.537,7,15,4.09,Rainy,0,60+,1.063,4.36,0.79,59.12,0.804,0.848,1
Salem,Mettur,Rural,8.3413,79.2021,Burglary,11,Sunday,Morning,621,8.81,80.84,0.613,3,6,0.69,Rainy,1,36-45,0.987,2.7,0.808,54.34,0.323,0.319,1
Erode,Gobichettipalayam,Urban,12.4975,79.2852,Vandalism,8,Thursday,Night,400,6.62,67.29,0.13,4,11,2.58,Hot,0,60+,1.058,1.9,0.673,65.46,0.512,0.52,0
Villupuram,Kallakurichi,Rural,13.4342,79.5233,Traffic Violation,7,Thursday,Evening,363,8.37,67.32,0.381,3,10,5.86,Sunny,0,36-45,1.016,3.97,0.673,40.08,0.535,0.744,0
Thoothukudi,Kovilpatti,Semi-Urban,9.8175,76.1649,Traffic Violation,5,Friday,Afternoon,800,7.31,81.59,0.56,5,12,7.03,Hot,0,60+,0.98,2.75,0.816,32.75,0.664,0.755,1
Chennai,Sholinganallur,Urban,11.1373,79.2647,Cybercrime,9,Saturday,Evening,1248,6.88,91.13,0.342,21,27,5.32,Cloudy,0,60+,0.98,2.56,0.911,88.12,0.479,0.869,1
Kanchipuram,Madurantakam,Rural,11.5772,78.1977,Burglary,5,Monday,Evening,684,12.72,74.54,0.587,3,11,7.88,Cloudy,0,18-25,0.932,1.15,0.745,35.86,0.799,0.892,0
Chennai,Chennai Central,Urban,11.935,77.244,Burglary,8,Sunday,Night,1695,3.99,88.86,0.549,9,18,5.32,Sunny,0,36-45,0.91,2.76,0.889,70.13,0.59,0.406,1
Sivaganga,Manamadurai,Semi-Urban,11.4978,76.4744,Burglary,5,Thursday,Night,455,9.88,84.39,0.223,4,7,7.66,Sunny,0,18-25,1.099,3.98,0.844,57.25,0.223,0.379,0
Villupuram,Kallakurichi,Rural,9.6151,78.2384,Theft,1,Monday,Night,609,11.88,68.07,0.589,8,6,2.19,Sunny,0,36-45,0.916,2.04,0.681,38.65,0.395,0.583,1
Vellore,Katpadi,Urban,10.6304,76.6585,Vandalism,9,Wednesday,Night,770,9.67,82.81,0.457,5,10,5.34,Sunny,0,46-60,1.003,2.35,0.828,30.62,0.776,0.861,1
Coimbatore,Pollachi,Urban,12.1298,76.6683,Cybercrime,6,Thursday,Afternoon,1039,4.88,85.3,0.603,24,28,7.0,Rainy,0,26-35,0.964,2.84,0.853,82.13,0.328,0.631,0
Karur,Aravakurichi,Urban,8.8753,76.7406,Drug Offense,7,Wednesday,Morning,242,7.69,81.1,0.42,8,15,4.38,Hot,0,60+,1.04,4.71,0.811,49.53,0.348,0.717,1
Virudhunagar,Sattur,Semi-Urban,12.0086,78.7362,Property Crime,8,Tuesday,Morning,210,12.38,80.63,0.451,3,11,3.99,Cloudy,0,60+,1.065,2.03,0.806,50.62,0.203,0.641,0
Dindigul,Palani,Rural,12.1982,79.6737,Cybercrime,1,Friday,Evening,239,10.77,83.64,0.639,4,4,7.97,Cloudy,0,60+,0.945,4.12,0.836,30.43,0.879,0.895,0
Vellore,Gudiyatham,Rural,10.7305,77.4464,Assault,8,Tuesday,Night,526,6.3,81.85,0.624,3,2,6.7,Sunny,0,60+,0.982,1.95,0.818,51.28,0.379,0.861,1
Coimbatore,Coimbatore North,Urban,9.4788,80.2072,Assault,10,Tuesday,Night,1170,7.8,86.84,0.589,15,23,1.29,Sunny,1,46-60,1.071,2.2,0.868,74.58,0.816,0.935,1
Virudhunagar,Sattur,Urban,12.5557,77.608,Burglary,6,Tuesday,Morning,382,6.42,67.93,0.418,7,5,4.79,Hot,0,36-45,1.037,1.23,0.679,37.42,0.854,0.776,1
Ramanathapuram,Ramanathapuram,Rural,13.1208,77.3559,Fraud,7,Saturday,Afternoon,621,10.11,72.06,0.602,4,3,5.71,Sunny,0,46-60,0.988,3.34,0.721,31.46,0.544,0.652,1
Tirunelveli,Ambasamudram,Rural,9.9721,78.2767,Theft,4,Saturday,Night,346,6.38,66.25,0.378,5,11,3.54,Sunny,1,60+,0.957,1.42,0.662,48.5,0.45,0.344,0
Vellore,Arcot,Rural,13.2156,76.2748,Domestic Violence,1,Tuesday,Night,711,6.44,73.46,0.22,2,3,6.26,Rainy,0,18-25,0.958,4.63,0.735,30.11,0.339,0.317,0
